22	377	1	878887116
6	86	3	883603013
62	257	2	879372434
95	546	2	879196566
38	95	5	892430094
63	277	4	875747401
50	246	3	877052329
97	194	3	884238860
7	32	4	891350932
10	16	4	877888877
99	4	5	886519097
81	432	2	876535131
25	181	5	885853415
59	196	5	888205088
72	679	2	880037164
87	384	4	879877127
42	423	5	881107687
20	288	1	879667584
13	526	3	882141053
60	427	5	883326620
57	304	5	883698581
92	1049	1	890251826
42	403	3	881108684
11	111	4	891903862
95	625	4	888954412
8	338	4	879361873
87	1016	4	879876194
62	498	4	879373848
62	382	3	879375537
28	209	4	881961214
32	294	3	883709863
90	382	5	891383835
42	96	5	881107178
58	144	4	884304936
90	648	4	891384754
62	21	3	879373460
94	789	4	891720887
44	195	5	878347874
72	195	5	880037702
41	265	3	890687042
82	135	3	878769629
59	23	5	888205300
7	479	4	891352010
87	274	4	879876734
82	1134	2	884714402
13	836	2	882139746
13	272	4	884538403
95	787	2	888954930
43	14	2	883955745
57	419	3	883698454
84	405	3	883452363
99	268	3	885678247
10	486	4	877886846
85	427	3	879456350
90	98	5	891383204
49	559	2	888067405
42	794	3	881108425
68	117	4	876973939
19	4	4	885412840
5	2	3	875636053
44	294	4	883612356
43	137	4	875975656
80	466	5	887401701
66	298	4	883601324
18	443	3	880130193
99	79	4	885680138
13	98	4	881515011
26	258	3	891347949
7	455	4	891353086
94	1217	3	891723086
38	328	4	892428688
26	930	2	891385985
92	1079	3	886443455
1	61	4	878542420
72	48	4	880036718
56	755	3	892910207
13	360	4	882140926
15	405	2	879455957
92	77	3	875654637
52	280	3	882922806
97	228	5	884238860
58	1098	4	884304936
83	234	4	887665548
90	347	4	891383319
6	14	5	883599249
54	106	3	880937882
16	944	1	877727122
91	323	2	891438397
87	554	4	879875940
62	65	4	879374686
92	172	4	875653271
36	339	5	882157581
70	746	3	884150257
63	242	3	875747190
28	201	3	881961671
14	98	3	890881335
66	258	4	883601089
83	623	4	880308578
100	344	4	891374868
83	576	4	880308755
38	153	5	892430369
7	382	4	891352093
85	507	4	879456199
59	468	3	888205855
13	198	3	881515193
1	189	3	888732928
23	385	4	874786462
42	546	3	881105817
33	872	3	891964230
16	64	5	877720297
95	135	3	879197562
77	484	5	884733766
13	215	5	882140588
16	705	5	877722736
1	33	4	878542699
1	160	4	875072547
54	595	3	880937813
94	343	4	891725009
23	323	2	874784266
82	183	3	878769848
69	256	5	882126156
63	1067	3	875747514
13	56	5	881515011
90	1086	4	891384424
18	26	4	880129731
92	229	3	875656201
59	951	3	888206409
16	197	5	877726146
61	678	3	892302309
87	40	3	879876917
49	959	2	888068912
94	1224	3	891722802
10	175	3	877888677
43	323	3	875975110
21	558	5	874951695
13	344	2	888073635
94	265	4	891721889
38	758	1	892434626
7	163	4	891353444
52	250	3	882922661
13	186	4	890704999
43	815	4	883956189
83	78	2	880309089
64	392	3	889737542
92	501	2	875653665
13	498	4	882139901
59	715	5	888205921
5	17	4	875636198
23	196	2	874786926
60	60	5	883327734
92	587	3	875660408
13	892	3	882774224
99	111	1	885678886
11	558	3	891904214
65	47	2	879216672
85	259	2	881705026
91	480	4	891438875
1	20	4	887431883
96	156	4	884402860
72	1110	3	880037334
7	430	3	891352178
73	480	4	888625753
70	431	3	884150257
72	182	5	880036515
25	357	4	885852757
63	289	2	875746985
13	229	4	882397650
62	712	4	879376178
54	742	5	880934806
63	762	3	875747688
11	732	3	891904596
92	168	4	875653723
8	550	3	879362356
72	54	3	880036854
94	184	2	891720862
94	720	1	891723593
64	381	4	879365491
45	25	4	881014015
21	370	1	874951293
10	611	5	877886722
90	900	4	891382309
90	289	3	891382310
21	222	2	874951382
72	699	3	880036783
90	259	2	891382392
59	742	3	888203053
94	744	4	891721462
26	1015	3	891352136
56	121	5	892679480
82	508	2	884714249
62	12	4	879373613
79	303	4	891271203
75	284	2	884050393
13	864	4	882141924
56	546	3	892679460
69	240	3	882126156
10	7	4	877892210
22	376	3	878887112
82	717	1	884714492
6	98	5	883600680
78	323	1	879633567
70	217	4	884151119
10	100	5	877891747
13	901	1	883670672
62	1016	4	879373008
60	430	5	883326122
56	71	4	892683275
42	274	5	881105817
1	202	5	875072442
13	809	4	882397582
15	749	1	879455311
7	497	4	891352134
95	1217	3	880572658
97	222	5	884238887
42	588	5	881108147
87	367	4	879876702
92	794	3	875654798
92	739	2	876175582
18	86	4	880129731
5	439	1	878844423
90	1198	5	891383866
48	609	4	879434819
5	225	2	875635723
22	128	5	878887983
8	22	5	879362183
72	866	4	880035887
1	171	5	889751711
90	25	5	891384789
2	292	4	888550774
49	302	4	888065432
22	80	4	878887227
15	25	3	879456204
94	1220	3	891722678
7	492	5	891352010
16	55	5	877717956
92	515	4	875640800
56	449	5	892679308
85	588	3	880838306
93	820	3	888705966
82	597	3	878768882
13	823	5	882397833
83	660	4	880308256
43	120	4	884029430
13	780	1	882142057
42	44	3	881108548
77	518	4	884753202
29	245	3	882820803
37	288	4	880915258
77	172	3	884752562
90	506	5	891383319
44	660	5	878347915
7	661	5	891351624
49	1003	2	888068651
62	68	1	879374969
42	1028	4	881106072
85	51	2	879454782
77	474	5	884732407
58	1099	2	892243079
56	1047	4	892911290
90	258	3	891382121
66	877	1	883601089
7	648	5	891351653
87	82	5	879875774
44	449	5	883613334
94	62	3	891722933
54	302	4	880928519
90	22	4	891384357
14	269	4	892242403
92	121	5	875640679
21	440	1	874951798
65	806	4	879216529
37	540	2	880916070
44	443	5	878348289
1	265	4	878542441
94	572	3	891723883
62	665	2	879376483
47	324	3	879439078
64	736	4	889739212
7	378	5	891353011
59	92	5	888204997
69	268	5	882027109
10	461	3	877888944
21	129	4	874951382
58	9	4	884304328
7	200	5	891353543
95	233	4	879196354
16	194	5	877720733
59	323	4	888206809
43	203	4	883955224
79	50	4	891271545
90	923	5	891383912
6	463	4	883601713
42	625	3	881108873
6	301	2	883600406
36	748	4	882157285
21	447	5	874951695
18	408	5	880129628
25	222	4	885852817
68	237	5	876974133
83	215	4	880307940
6	258	2	883268278
89	216	5	879459859
11	227	3	891905896
20	208	2	879669401
85	1065	3	879455021
68	742	1	876974198
5	110	1	875636493
99	1016	5	885678724
2	251	5	888552084
72	568	4	880037203
85	228	3	882813248
83	281	5	880307072
92	831	2	886443708
7	543	3	891351772
87	401	2	879876813
1	155	2	878542201
24	64	5	875322758
7	554	3	891354639
82	56	3	878769410
56	91	4	892683275
82	477	3	876311344
7	472	2	891353357
16	8	5	877722736
84	742	3	883450643
44	644	3	878347818
17	13	3	885272654
21	164	5	874951695
73	206	3	888625754
94	216	3	885870665
1	117	3	874965739
60	162	4	883327734
6	69	3	883601277
85	642	4	882995615
99	873	1	885678436
13	418	2	882398763
13	858	1	882397068
85	433	3	879828720
13	72	4	882141727
59	485	2	888204466
70	1133	3	884151344
62	182	5	879375169
65	125	4	879217509
90	12	5	891383241
100	354	2	891375260
7	623	3	891354217
56	222	5	892679439
96	87	4	884403531
94	860	2	891723706
84	121	4	883452307
70	399	4	884068521
53	281	4	879443288
26	125	4	891371676
24	191	5	875323003
25	501	3	885852301
75	240	1	884050661
13	181	5	882140354
2	50	5	888552084
72	234	4	880037418
83	385	4	887665549
14	213	5	890881557
57	79	5	883698495
62	86	2	879374640
84	1033	4	883452711
78	255	4	879633745
11	425	4	891904300
87	585	4	879877008
8	50	5	879362124
91	683	3	891438351
5	454	1	875721432
7	644	5	891351685
83	210	5	880307751
62	302	3	879371909
49	995	3	888065577
62	59	4	879373821
83	97	4	880308690
63	100	5	875747319
16	178	5	877719333
90	945	5	891383866
85	25	2	879452769
42	98	4	881106711
94	792	4	885873006
18	950	3	880130764
7	662	3	892133739
69	427	3	882145465
72	196	4	880036747
7	171	3	891351287
82	756	1	878768741
59	235	1	888203658
64	1063	3	889739539
21	324	4	874950889
75	237	2	884050309
1	47	4	875072125
96	673	4	884402860
7	451	5	891353892
6	517	4	883602212
95	68	4	879196231
25	257	4	885853415
6	23	4	883601365
38	573	1	892433660
22	241	3	878888025
66	181	5	883601425
21	948	1	874951054
76	61	4	875028123
13	147	3	882397502
44	258	4	878340824
16	89	2	877717833
15	331	3	879455166
94	155	2	891723807
82	194	4	878770027
10	488	5	877888613
23	258	5	876785704
94	24	4	885873423
99	403	4	885680374
83	43	4	880308690
59	177	4	888204349
43	40	3	883956468
42	953	2	881108815
97	670	5	884239744
61	323	3	891206450
4	264	3	892004275
37	403	5	880915942
49	68	1	888069513
3	335	1	889237269
56	869	3	892683895
44	15	4	878341343
29	189	4	882821942
94	174	4	885870231
19	435	5	885412840
56	447	4	892679067
92	747	4	875656164
58	173	5	884305353
16	209	5	877722736
44	240	4	878346997
